feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
MSM79HF5	0	0.000759419168106693	0	0	0.000747263156975766	0.10438433063643	0	0.0328124998273294	0.0701162037307682	0.000122002148077676	0	0	0	0.0191343350844252	0.0190457067123615	0	0.00697091983762663	0.0142192177474226	0.0374135500403856	0.0138862535516273	0.00145617962429306	0.0141323575224325	0.0173397763139239	0	0.0314270460859799	0.0498178753259607	0.0341748571475301	0.0165753842321727	0	0.000354181960678398	0.000524697644087686	0	0.0137085547707316	0.0878270699117617	0.00144424463154633	0.022422425586149	0	0.00046336504247255	1.33716122440206e-05	0	0	0.00924387290072595	0.000202784367502297	0	0.0036905649793497	0	0.00146170508389803	0.000549230684733741	0.0307242076242281	0.0363343172703434	0	0.00030003245654972	0	0.000930818925052776	0.0187108638603005	0.00361000377830928	0.000979995515536985	0	0	0.00046181791378316	0.00403789537011794	0.00039263915952897	0	0.00130146675535398	0	0.090088861546459	0.00550634151473402	0	4.37616400713403e-05	0.0482761615869827	0.00389180221816261	0	0	0	0	0	0	0.000369432229188108	0.00078030540541347	0	0.00221394115451826	0.0723402012217675	0	0	0	0.0522638857838876	0
MSM79HF7	0	0.000104453008616995	0	0	0.00173806178448366	0.0197970951179934	0	0.0448730729666997	0.0545950631970935	1.17906435197187e-05	0	0	0	0.0792122640832057	0.00457371155097602	0	0.00467876920797864	0.00466758321284455	0.0540774841789971	0.0155042427421409	6.33369183943865e-05	0.00162725996781759	0.00545589354560523	0	0.0160972516463442	0.024080726605965	0.00203978132891134	0.0108174619430527	0.00111104140858888	0.00103954173698853	0.00095307701784393	0	0.00141019119737764	0.0124353498608931	5.26044095495143e-05	0.0015729927752076	0	0.000213743204319003	6.27322700087598e-05	0	0	4.83718708501281e-06	0.000433986378783493	0	3.61277410411894e-05	0	0.00387050547849228	0.00451611879224508	0.0253492789190096	0.00837422897883202	0	0.000451067695677444	0	0.00187244488818918	0.00615214616165426	0.0035618324776299	0.00367490172574207	0	0	0.00354036745994015	0.00529792915486028	0.0417812034467981	0	0.000658613254043775	0.000881577346243584	0.0577919903739977	0.0248073628033918	0.00156755093973696	0.00311771823838716	0.0519438311882172	0	0	0	0	0	0	5.04881401998212e-05	0.00845419372783113	0.0126504535240797	0	0.0108851825622429	0.29045494500345	0	0	0	0.0354803137822797	0.029472225098501
MSM79HF9	0	0.00178091555909398	0	0	0.0178661402083695	0.0292716055363306	0	0.0199512857578474	0.0158783482558144	0	0	0	0	0.0040579600255834	0.00233765644149669	0	0.000630692172372968	0.0142000518127076	0.0516534548942766	0.00959120148145964	0	0.00233683736075335	0.00967697093644097	0	0	0.0590595829755706	0.0161752065195083	0.0231625503178852	0	0	0	0	0.00141268025919459	0.0208508704371059	0	0.0028433802947427	0	0.0122726378120902	0.000937847451126037	0	0	0.0219493747254617	0.00506624842063681	0	0.00833999714023809	0	0.00861801654683515	0.00595401493488425	0.143680803766274	0.00110224865746816	0	0.003184000872438	0	0.00758702791403771	0.033253976110457	0.0387878026240071	0.00758995320240679	0	0	0	0.000830430862213535	0.000268775495350781	0.00137851289104377	0.00110552498044152	0.000917721467146789	0.0592153253283402	0.045251168769715	0	0.00600421288329761	0.0533141996071689	0.00222158099901172	0	0	0	0	0	0	0.00119129443542286	0.00170462403842846	0	0.0068078481040504	0.0594590603552517	0	0.00337016622424605	0	0.154821471991066	0.00107674014288981
MSM79HF9_TR	0	0.00145489000323269	0	0	0.0158555703589742	0.0320168810645011	0	0.0116388815388517	0.0162636216327274	2.18215613959169e-05	0	0	0	0.00303903996577234	0.00207185589756315	0	0.000686842588199353	0.0138690928109164	0.0488882868416819	0.0118443380977871	0	0.0017361854312817	0.0103820549972508	0	0	0.0552387189384085	0.0160903608201139	0.0220825854281337	0	0	0	0	0.00216438885736223	0.0258535420269559	0	0.00277133829728145	0	0.00759151849568118	0.000490090805121413	0	0	0.0205792825619133	0.00411902838961289	0	0.00770778091295451	0	0.0102505294113509	0.00435787312991902	0.15595142544282	0.00148863591511818	0	0.00272757593098472	0	0.00752820019458155	0.0298000250649847	0.03931362961608	0.0096502576077058	0	0	0	0.000237652305257172	0.000177553578789728	0.000985309080953342	0.000621616391021393	0	0.0535449841948696	0.040289041486127	0	0.00591447784282776	0.0494520701328289	0.00315017491233516	0	0	0	0	0	0	0.000913047516986535	0.00248086111935547	0	0.00854642048288611	0.0549658897992071	0.00258841876077141	0.00292373149653818	0	0.176022492186867	0.00166010807515823
MSM79HFB	0	0	0	0	0.0148796627408866	0.0154846253776429	0	0.0246506081688092	0.0641806631746375	8.31229889904141e-06	0.0014134146686383	0	0	0.0187335467758968	0.0023103872861985	0	0.00562192080602959	0.00379332300017423	0.0702016822797548	0.0155219767467217	0	0.0142927280770673	0.0140675403432569	0	0	0.0373895840633583	0.00908253594637466	0.0438893699946737	0	0.000254118852056409	0.000559838728447127	0	0.00494322699851955	0.0467176027070891	0.00116210256685949	0.0230569137708021	0	0.000122417492876792	0.00014346811995878	0	0	3.34650994636732e-06	0.00236393144534037	0	0	0	0.0212920076058614	0.00101852649496696	0.0528524031503829	0.056434896023936	0	0.00881060502524888	0	0.00575869590609564	0.00410562794452393	0.00997745747719354	0.00600353089184922	0	0	0.00133601313213684	0.000489562019573413	0.00556405856953756	0	0.00407853200915173	0	0.103169231280757	0.0189441609986504	0.000413347954343241	0	0.145347563125433	0	0	0	0	0	0	0	0	0	0	0	0.00286428865828916	0	0	0	0.116690642791153	0
MSM79HFW	0	0	0	0	0	0.0190317289389815	0.00313536525493538	0.00149759556719958	0.0497959401497733	0.00016594142210539	0.0310279538575196	0	0	0.0191817518947842	0.006968279993683	0	0	0.00967590804257033	0.288283424742358	0.0307886042562772	0.00606768417350579	0.0149186950018421	0.0290825798497182	4.3976194678033e-05	0.00819629232579901	0.00283016588301622	0.00120327572260962	0.000824782692893733	0.0131100594743677	0.027407018119681	0.0452316921318228	0	0.000151053647865431	0.00816136331700526	0.0769838789454463	0.0175225667164109	0	0	0	0	0	0	0	0	0	0	0.00515265866444984	0	0.0169886682278979	0.0193223841006817	0	0.000173957915926907	0	0.00117395825949093	0.00508325873222357	0.000251488863315001	0.000845167491468447	0	0.000566651591840904	0.00785776724385041	0.00309562634984872	0	0	0.00100343598377324	0	0.137104948615992	0.00150229094215218	0	0.00285913978211399	0.0729799838456197	0	0	0	0.000600320865891273	0	0.000118644108558443	0.000583829792887011	0.000110169529375697	0.000136623958986701	0.00990895897009584	0.000248854872487931	0	9.01282948219061e-05	0	0.000180714675005042	0	0.000772790004394184
MSM79HFY	0	0	0	0	0	0.0138809711421477	0.00251187736124254	0.00109057388421285	0.0410511575869257	0.000128956748795811	0.0439676923323207	0	0	0.0160337706597605	0.00362857610404764	0	0	0.00915081536239514	0.286993244445077	0.027137502579135	0.0107721129696694	0.018325865699995	0.0652399974030779	8.40442259393387e-05	0.00879362740215296	0.00431949523660451	0.00141496680920093	0.00113670927279066	0.0180422720222553	0.0209213426087328	0.0364943152307703	0	9.96079714836607e-05	0.0132715393344765	0.101954428463689	0.0172746458580871	0	0	0	0	0	0	0.00106044691962348	0	0	0	0.00537293847073304	0.00012628867813107	0.0193163869342801	0.0296852877247405	0	1.22286572133958e-05	0	0.00121130408179237	0.00179272114748383	0.000257468819147498	0.00156293356148302	0	0.000493593072977069	0.0125768404351445	0.00322636445133795	3.26838656430762e-05	0	0.000473693712602543	0	0.104729777803075	0.00171067797454305	0	0.00253600116683624	0.0404189360089932	0	0	0	0.000460131020056777	0.000123175929022205	0.000682025563674396	0.000503264829136755	0.00078074417826981	0.000965508071803118	0.00491592019978513	0.000162752310549196	0	0	0	0.000240904547103898	0	0.000848891149831734
MSM7J16J	0	0	0.00155262954717187	0	0.00147605492615295	0.270114760675831	0.00445183329768289	0.000540958562371611	0	0	0	0.000233141242837742	0	0	0.0694652053781964	0	0.0773741613180454	0.00505873463286583	0.0256503463577693	0.0346656473593147	2.78453167341494e-05	0	0.0292999813942656	0.00173830718194003	0.0106148878783008	0.0219117328773452	0	0.0136617983771243	0.000572347828508288	0	0	0	0.00237166156802041	0.0225436949975888	0	0	0	5.23998233088084e-05	0.00970143491979916	0.00011884887460621	0	0	0.000108976444127739	0	0.00147592835653144	0.00173818061231852	0	0.00118494479665957	0	0.217545334074188	0	0	0.000407807320533769	0.00108748618809005	0.0347314635625045	0.000363128244137612	0.00880355002474436	0	0.000942310832207918	0.00919275161091486	0	0	0	0.00424539824498563	0	0.0236171319576903	0	0.000749545298634693	0	0.054890586890678	0.000132012115244172	0	0	0	0	0	0	0	0	0	0	0.000872444401129507	0	0	0	0	0.0347126046888982
MSM7J16L	0	0	0.0019403342984695	0	0.00114350168000439	0.307629887935335	0.00182427797121541	0.0346946546780543	0	0	0	0.000694463063245824	0	0	0.0874063510747022	0	0.043228075806718	0.00710305970601189	0.0311554054218741	0.116234067800519	0	0	0.0539382561590005	0.00509654142770281	0.00758022182695158	0.0591107310479924	0	0.0233145724561775	0	0	0	0	0.00259111218522065	0.0226525451677539	0	0	0	0	0.00474312272516006	6.65589598953206e-05	0	0.000439101645281242	0.000254048987769463	0	0.00157435376405917	0.00182427797121541	0	0.000400853679594916	0	0.022171258266201	0	0	0.0026610459656177	0.00143298628304207	0.0319876736556074	0.000260048668661436	0.00524597097991851	0	0.00129761848291694	0.00746229059941874	0.000972885754638925	0	0	0.00861797913123496	0	0.0585431987336174	0.00232806367611323	0.000882703051231463	0	0.038090099082855	0	0	0	0	0	0	0	0	0	0	0	0.00114031434953053	0	0	0	0	0.000265485879469786
MSM7J16N	0	0	0.0576655561308655	0	0.002620953469636	0.057753226566445	0.00817938993676868	0.00201249447643543	0	0	0	0	0	0	0.10582946896447	0	0.0391121366371217	0.0017527544546068	0.0349655867370071	0.0473818140373976	0	0	0.0156322929207955	0.00343825129147057	0	0.0188094956764736	0	0.0108000817036119	0	0	0	0	0.000998788708623644	0.0134229979441937	0	0	0	2.31606971605378e-05	0.0816120159267086	0.000758283842063935	0	6.24161160767035e-05	0	0	0.00169661920555668	0	0	0.00338970542341091	0	0.00344191513056941	0	0	0.00182158228910648	0.00496607219568774	0.0561815704444381	0.0010965347017249	0.035524453050977	0	0.00243880832586499	0.0178697209476206	0.003382639448006	0	0.0016820947005577	0.000741011457740822	0	0.236490345718549	0.0155497256896752	0.000300173103312281	0	0.106739017020757	0.000494487426947301	0	0	0	0	0	3.49373228353875e-05	0	0.000230167606245118	0	0	0	0	0	0	0	0.00309725255248548
MSM7J16P	0	0	0.00145276025855476	0	0.00164430522197699	0.261278862183539	0.0282904316680922	0.0294599528985028	0	0	0	0.000421061395364274	0	0	0.177453329549312	0	0.052310198208253	0.00278682451921792	0.046675935455254	0.0570341301622563	0	0	0.0329779391393303	0.00341616645116686	0.0108094926421138	0.048132070955455	0	0.0276944202473996	0	0	0	0	0.00269949014162233	0.027749408559219	0	0	0	0	0.000376901983826405	0.000154698575451136	0	0.00036494800299609	0.000850842164981249	0	0.000604449524808167	0.000824543407154556	0	0.000537507232158402	0	0.0290905045733118	0	0	0.000180856698209237	0.00202866086443876	0.0317411943461327	0.00118302219699542	0.00249810072339867	0	0.0012827324606271	0.00444308372202522	0.000362135301624251	0	0.000633420348938107	0.00933254315176127	0	0.0604774391816614	0.00770947382514167	0.000267769170599058	0	0.0320349810044213	9.71788323970319e-05	0	0	0	0	0	0	0	3.65651178339049e-05	0	0	0.000121789969400622	8.04432592345908e-05	0	0	0	0.000397434703840828
MSM7J16R	0	0	0.00232895995527257	0	0.00117679545140589	0.307455060762025	0.00276667860130048	0.032619090260404	0	0	0	0.00192432987130033	0	0	0.100643238678778	0	0.0668822220794485	0.005009875377792	0.0313569767678232	0.0644041410261223	0	0	0.0684157211325666	0.00438757300442215	0.013688278146904	0.0719949242442565	0	0.0330044310481106	0	0	0	0	0.00190860167588374	0.0223245412226357	0	0	0	0	0.00166080840847132	2.52244643473711e-05	0	0.0014981848030318	0.00111210211931498	0	0.000847393622869627	0.0021986830158785	0	0.000812524510389438	0	0.00151480327366066	0	0	0.000535797298578572	0.00268640545299503	0.0314274568887938	0.000371838280320659	0.00300853670063116	0	0.00107663949002662	0.00122041893680663	0.00401039307282793	0.000997108237731377	0.00284591309519164	0.00607612832367558	0	0.0561315553745989	0.0137094963727962	0.000384895650100475	0	0.0210334937856565	0.000108020059087566	0	0	0	0	0	0	0	2.89339443984551e-05	0.0108999361821052	0	0.0014858693292622	0	0	0	0	0
MSM9VZEK	0	0	0.00818331538055751	0.00496254047753266	0.00231101491610904	0.0167770198213392	0.0133129272721545	0.000571260231238902	0	0	0	0	0	0	0.0935221201211628	0	0.0286132838028872	0.0686140680498459	0.383726339369801	0.0624788437652702	0	0.000191872386262406	0.0574063746542108	0.00176505837947766	0.00463510061486302	0.0105893448320471	0	0.0144587992173618	0.0019917861861266	0	0	0	0.000114620709348023	0.00242814923750416	0.0152237751503643	0.00374947130359942	0	0.000643987406468496	0.000179136751890404	0	0	0	0	0	0.000166568691654875	0.00355123110015102	0	0.00531377586758158	0	0.0626006701624866	0	0	0.00145102444772592	0.012719547254901	0.0171138438356513	0.000970924546728718	0.0050324188924422	0.00812768076724824	5.2785852989221e-05	0	0.000603266891305382	0	0	0.0295848786461618	0	0.0137504633424874	0	0	0	0.0352468735693358	0.00371159954875637	0	0	0	0	0	0	0	0	0.00285412269242035	0	0	0	0	0	0	0.000698113852549506
MSM9VZEK_TR	0	0	0.149897166825089	0.0296600163957789	0.0158071521682568	0.00676920783807142	0.0018183101887868	9.71456439396416e-05	0	0	0	0	0	0.000409763725581207	0.0179141535842559	0	0.00711464362715423	0.0190848697293912	0.09987160562268	0.0178961103825551	0	0	0.0210216374597787	0.00031209509028792	0.0161391209299832	0.00414470647764016	0	0.0113634253841698	0	0	0	0	0.00016330405017579	0.000982308509984559	0.0111133047692889	0.000951321272281066	0	0.00560176038889637	0.166980679391918	0	0	0	0	0	0.00110834942621311	0.00250251362719346	0	0.000478667836423994	0	0.0310615024757103	0	0	0.00202593775618405	0.0262261859155813	0.0179894643391808	0.000808021641382214	0.0163744670391237	0	0	0	0.00640625183864148	0	0	0.0124776584631115	0	0.00888287739382949	0	0	0	0.260065295470503	0.000140684674130625	0	0	0	0	0	0	0	0	0.000475006896948476	0	0	0	0	0	0	0.00786330574989769
