feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
ESM718UH	250.602	383.294	353.542	520.058	424.941	358.999	295.361	823.138	463.262	468.623	446.287	504.049	229.51	606.005	490.708	447.897	508.323	433.401	473.035	228.606	495.39	541.013
ESM718V4	133.389	162.696	407.738	446.877	448.556	424.405	255.563	1318.9	592.221	339.133	407.56	981.643	288.059	969.111	746.793	269.656	464.18	341.105	696.031	305.574	246.692	897.129
ESM718V8	122.232	258.291	351.088	387.318	325.744	368.345	213.981	1196.96	540.181	388.193	360.945	734.498	287.394	840.473	645.187	334.942	472.249	297.672	648.569	279.25	292.889	774.082
ESM7F5AE_P	194.067	312.803	213.306	288.794	215.578	220.65	200.681	657.02	349.996	274.296	239.379	357.287	141.552	405.297	344.659	263.254	308.266	209.44	330.227	134.332	288.435	374.097
ESM7F5AK	261.307	340.05	463.435	528.84	437.261	433.354	246.663	645.115	393.762	382.036	401.591	440.111	57.3824	593.912	387.21	367.537	432.252	457.346	414.962	241.715	412.698	562.701
ESM7F5AM	206.719	414.803	349.763	573.033	478.395	356.982	324.426	966.795	519.328	502.62	487.49	544.1	245.207	647.909	562.195	519.159	559.172	485.534	524.701	169.17	534.077	565.501
ESM7F5C5	79.8475	201.595	428.863	420.602	386.297	434.249	201.341	1141.82	484.306	407.441	403.945	711.796	358.585	881.914	533.708	308.342	442.279	360.403	540.252	359.377	357.998	773.888
ESM7F5C7	181.235	306.107	359.334	419.598	376.038	372.635	252.752	1030.35	488.205	400.102	391.323	745.151	195.272	822.787	600.378	334.172	515.945	339.225	602.467	294.472	281.241	753.023
ESM7F5CB	209.283	368.709	337.609	549.158	424.313	344.009	293.763	897.848	491.342	481.758	452.691	499.111	234.492	560.098	508.933	479.898	532.972	432.486	474.549	157.034	516.803	511.313
ESM7F5CD	210.891	317.95	388.122	490.239	418.521	386.738	296.377	745.723	453.653	445.951	431.435	480.739	179.691	520.109	449.912	438.929	479.067	430.154	442.858	248.619	455.361	509.103
