feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5FZ4C_P	0.032390599090969	0.045948519330499	0.0356220747907826	0.0476611883525932	0.0446538332414452	0.0360902261548334	0.0338297650218102	0.10262522361301	0.0466996049268805	0.0509792471670228	0.0465236879481675	0.0523745320942386	0.0194333901428595	0.0464409034875967	0.0494462937776868	0.0470742308085776	0.0527060629007334	0.0441879086745933	0.0468512891125466	0.0220996523183644	0.0456824825592659	0.050679284485524
CSM5FZ4E_P	0.0319868494819887	0.0447232620241743	0.0357006770026225	0.0483646628970505	0.0450160560744345	0.0361488731674321	0.0333000488075847	0.0986212950810857	0.0486982371379665	0.0472590952046355	0.0455643373759324	0.0506614752754978	0.0226717276984458	0.0460543428844742	0.0511283248398188	0.0391335457333758	0.0502851911819077	0.0450165706509728	0.0486349442237626	0.0267395838773908	0.0523756583685197	0.0519152410109268
CSM5FZ4G_P	0.0328684010838705	0.0446255889507238	0.0424583420649572	0.0474371620185012	0.0427226146370529	0.040491711713217	0.0348084394492823	0.0923136098845002	0.0471052328440212	0.0420414597306138	0.0416366967528714	0.0485955607149762	0.0347514902396232	0.0560355513677753	0.0434278905930378	0.0414223135710555	0.0467929535001467	0.0442167077450102	0.0439904405339059	0.0274072778030689	0.0502721501538864	0.0545784046479027
CSM5FZ4K_P	0.0341149525055173	0.0437058930834632	0.0408918732987651	0.0510842000216995	0.0446364677982996	0.0395573540440357	0.0342099772393705	0.0899036518350981	0.0456905627443429	0.0423962924854154	0.0436640440476006	0.0491907397979562	0.0325180123734842	0.0604492034971963	0.0440539196808504	0.0411435636540527	0.0460037747591892	0.0449052077607904	0.0442442076046017	0.0250965448911389	0.0518438017524135	0.0506957551247185
CSM5FZ4M	0.0309869776701475	0.0506158591110773	0.0369604941572341	0.0468310697419767	0.0418283562018107	0.0365152498826973	0.0328297350743308	0.109060348174632	0.04625651289584	0.0433160898818239	0.0432268279913785	0.0511835988199962	0.0208171936722054	0.0637457719103057	0.0456438226883913	0.0413882247801873	0.0442093478928921	0.0414284884968798	0.0444213182532577	0.0210259684995002	0.0573652510277633	0.0503434931756728
CSM5LLGB_P	0.0159207014727046	0.0483729698673974	0.054004237372576	0.051129979084731	0.0456857359914603	0.0522597434336408	0.044665492431578	0.0604391357480481	0.0423749402038021	0.0406779199939817	0.0411158927460705	0.0537771363009735	0.00395722237216928	0.0772151371729666	0.0425714593615329	0.0387027920547658	0.0516133278895319	0.0471352303857568	0.045644113675469	0.0314515663465623	0.0495316600698608	0.0617536060244206
CSM5MCTZ_P	0.0208144192374367	0.0368115453262035	0.0417617712345442	0.05151724567742	0.0460541844094515	0.0416288384748734	0.032774831574304	0.0693418380832577	0.0479190000804448	0.0460633559963614	0.0457612461335684	0.0558024762842653	0.0170324103991209	0.0700328011308235	0.0529181779526543	0.0410616366000684	0.050147253695376	0.0466599511496971	0.0543388899153208	0.0241249201077429	0.0483264174411317	0.0591067890959335
CSM5MCU4_P	0.0119786075257815	0.0384267205073005	0.0388702598963252	0.0513942547177333	0.0466490047430177	0.0395265003306442	0.0438580169662124	0.0841405762897008	0.0472819076744541	0.0460008817010056	0.0459686658002872	0.0569929723929771	0.00257757645968407	0.0956289694206924	0.0483369150058545	0.0240647704996308	0.054006406195275	0.0458755694572663	0.0470999005188206	0.0259568839126906	0.0476296872011071	0.0577349527835388
CSM5MCU8_P	0.0322160083396479	0.042777254344636	0.0476139456914157	0.0530537872070685	0.0438382136966122	0.0468087506614209	0.0363149524239564	0.0531055667985082	0.0487721969558375	0.0457891254501616	0.0446543018395036	0.052505102602678	0.0277378943941057	0.0576602309757752	0.0489800614252191	0.0438003116325613	0.0544185599543504	0.0430331678873419	0.0479699863403349	0.0308848102554032	0.0399866775737068	0.0580790935497551
CSM5MCUA_P	0.0204374313555292	0.041234877852182	0.0308995923078452	0.0554899717208539	0.047230234557825	0.0327448396081327	0.0298342338237249	0.069395911378268	0.0543993122069323	0.053577213867877	0.0492348166360319	0.054998267805106	0.0145551270562178	0.0538967473613186	0.0566478949481495	0.0503317705524893	0.0593816403632636	0.0470848462012108	0.0534043029276254	0.0197694841687754	0.0505519512215893	0.0548995320790523
