feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5FZ4C_P	-4.94828103755466	-4.44383781768292	-4.81108464180235	-4.39104126659275	-4.4850721631169	-4.79224800604542	-4.88556303342457	-3.28454272935172	-4.42044584481712	-4.29394612116985	-4.42589072551638	-4.2549907397138	-5.68531858964119	-4.42846015029312	-4.33799380122584	-4.40891866833335	-4.24588726180762	-4.5002045369371	-4.41576744561082	-5.49983251710449	-4.45221513542639	-4.30246003381363
CSM5FZ4E_P	-4.96637728736626	-4.48283077050086	-4.80790475700311	-4.36990284646654	-4.47341652416651	-4.78990551358298	-4.90833189793138	-3.34195699154133	-4.35998664166312	-4.40326418120526	-4.45595110267371	-4.30296710045319	-5.46296185396707	-4.44051898215581	-4.28973343120296	-4.67545035681158	-4.3137225959868	-4.47340003287781	-4.36186292650326	-5.224879175454	-4.25495971599321	-4.26769804997799
CSM5FZ4G_P	-4.92715491298768	-4.48598498039362	-4.55780815252493	-4.39783848816033	-4.5488562466706	-4.62622955817126	-4.84441905394492	-3.4373128283023	-4.40796885437874	-4.57204342747852	-4.5860005728013	-4.36303166250771	-4.84678134387483	-4.15751376424161	-4.52523431077687	-4.59344805475145	-4.41756489748304	-4.49926457974425	-4.50666614085906	-5.1892971485517	-4.31409679495248	-4.19552596519194
CSM5FZ4K_P	-4.87345198197955	-4.51602837116821	-4.61204203405319	-4.29097904489505	-4.48563332236338	-4.6599102610289	-4.86943904552446	-3.47547647139448	-4.45195997827513	-4.55991808174976	-4.51741043468124	-4.34546943731936	-4.9426171127601	-4.04813285970008	-4.50458580167226	-4.6031894313186	-4.44210394593262	-4.47697342242551	-4.49836759801669	-5.31636743163574	-4.26968467355359	-4.30199123775127
CSM5FZ4M	-5.01219414194725	-4.30426670453623	-4.7578721442376	-4.41639019649927	-4.57937488665516	-4.77535708645681	-4.92885308191352	-3.19680142851328	-4.43419967904276	-4.528953172191	-4.5319292154194	-4.28817460009124	-5.58608059510845	-3.97152653480438	-4.45343656680199	-4.59463581981838	-4.49950473570507	-4.59323300469379	-4.49260398263459	-5.57168393425291	-4.1236791000972	-4.31205086575943
CSM5LLGB_P	-5.97295228675138	-4.36965507474397	-4.21078357885858	-4.2896867538997	-4.45211239268784	-4.258156147932	-4.4846955222107	-4.04837315900262	-4.5606448573426	-4.6196102787968	-4.60416003542847	-4.21686325781393	-7.98129614626284	-3.69497249016153	-4.55396964281792	-4.69141854231289	-4.27611253503071	-4.40705041012073	-4.45342736940679	-4.99072432198187	-4.33550521559382	-4.01733280624903
CSM5MCTZ_P	-5.58627288471763	-4.76369787532429	-4.58167328780221	-4.27880072663565	-4.44052394654154	-4.58627288471763	-4.93126782313519	-3.85013011039501	-4.38325838586411	-4.44023666568412	-4.44972985080875	-4.16352704543063	-5.87557357244566	-3.83582539707456	-4.24009280132374	-4.6060650594605	-4.31768549568804	-4.4216713928711	-4.20187109661123	-5.37333202502526	-4.37104414165686	-4.08053233970182
CSM5MCU4_P	-6.38339598051363	-4.7017463335859	-4.6851894358438	-4.28224909793353	-4.42200988828246	-4.6610359649267	-4.51101560753267	-3.57105449042906	-4.40256794493287	-4.44219467613816	-4.44320539595506	-4.13307215328435	-8.59976906119248	-3.38640846164737	-4.37073079047719	-5.37693352506838	-4.2107256410545	-4.44613012341397	-4.40813217709496	-5.26773898954786	-4.39199511566639	-4.11441119776075
CSM5MCU8_P	-4.95607843891284	-4.54701230359009	-4.39247200209932	-4.23640044919382	-4.51166717668485	-4.41707793014305	-4.78329249978328	-4.2349930901078	-4.35779722937748	-4.44885117926782	-4.48505702353091	-4.25139855477003	-5.17199791409871	-4.11627957377198	-4.35166160660776	-4.51291505535578	-4.1997574098539	-4.53840714156071	-4.38172416104904	-5.01695872242903	-4.64433677476979	-4.10583725265108
CSM5MCUA_P	-5.61264230482536	-4.5999910558128	-5.01626838657485	-4.17162912202075	-4.40414548946366	-4.9325886253646	-5.06688746241789	-3.84900552420547	-4.20026777877559	-4.22223662993649	-4.34417730462	-4.18447000874355	-6.10232875652667	-4.21365798001196	-4.14183384368995	-4.31238684045238	-4.07383924277453	-4.40859337257089	-4.22690020137782	-5.66058096144197	-4.30608941093264	-4.18706233690323
